"GEO_ID","id"
"NAME","Geographic Area Name"
"S0601_C01_001E","Estimate!!Total!!Total population"
"S0601_C01_001M","Margin of Error!!Total!!Total population"
"S0601_C01_002E","Estimate!!Total!!Total population!!AGE!!Under 5 years"
"S0601_C01_002M","Margin of Error!!Total!!Total population!!AGE!!Under 5 years"
"S0601_C01_003E","Estimate!!Total!!Total population!!AGE!!5 to 17 years"
"S0601_C01_003M","Margin of Error!!Total!!Total population!!AGE!!5 to 17 years"
"S0601_C01_004E","Estimate!!Total!!Total population!!AGE!!18 to 24 years"
"S0601_C01_004M","Margin of Error!!Total!!Total population!!AGE!!18 to 24 years"
"S0601_C01_005E","Estimate!!Total!!Total population!!AGE!!25 to 44 years"
"S0601_C01_005M","Margin of Error!!Total!!Total population!!AGE!!25 to 44 years"
"S0601_C01_006E","Estimate!!Total!!Total population!!AGE!!45 to 54 years"
"S0601_C01_006M","Margin of Error!!Total!!Total population!!AGE!!45 to 54 years"
"S0601_C01_007E","Estimate!!Total!!Total population!!AGE!!55 to 64 years"
"S0601_C01_007M","Margin of Error!!Total!!Total population!!AGE!!55 to 64 years"
"S0601_C01_008E","Estimate!!Total!!Total population!!AGE!!65 to 74 years"
"S0601_C01_008M","Margin of Error!!Total!!Total population!!AGE!!65 to 74 years"
"S0601_C01_009E","Estimate!!Total!!Total population!!AGE!!75 years and over"
"S0601_C01_009M","Margin of Error!!Total!!Total population!!AGE!!75 years and over"
"S0601_C01_010E","Estimate!!Total!!Total population!!AGE!!Median age (years)"
"S0601_C01_010M","Margin of Error!!Total!!Total population!!AGE!!Median age (years)"
"S0601_C01_011E","Estimate!!Total!!Total population!!SEX!!Male"
"S0601_C01_011M","Margin of Error!!Total!!Total population!!SEX!!Male"
"S0601_C01_012E","Estimate!!Total!!Total population!!SEX!!Female"
"S0601_C01_012M","Margin of Error!!Total!!Total population!!SEX!!Female"
"S0601_C01_013E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0601_C01_013M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0601_C01_014E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0601_C01_014M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0601_C01_015E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0601_C01_015M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0601_C01_016E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0601_C01_016M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0601_C01_017E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0601_C01_017M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0601_C01_018E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0601_C01_018M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0601_C01_019E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0601_C01_019M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0601_C01_020E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0601_C01_020M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0601_C01_021E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0601_C01_021M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0601_C01_022E","Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0601_C01_022M","Margin of Error!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
